,change_type,history,osm_type,osm_id,geometry,tag_key,tag_value,start_ds,end_ds
26,modify,new,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",name:el,Ντόνγκντο,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
27,modify,new,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",name:ja,東島,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
28,modify,new,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",name:zh,东岛,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
29,modify,old,way,853678581,"POLYGON ((131.8738459 37.2367241, 131.8738459 37.2493339, 131.8596494 37.2493339, 131.8596494 37.2367241, 131.8738459 37.2367241))",name:en,"Natural monuments of South Korea No. 336 ""Dokdo Island Natural Reserve""",2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
30,modify,old,way,853678581,"POLYGON ((131.8738459 37.2367241, 131.8738459 37.2493339, 131.8596494 37.2493339, 131.8596494 37.2367241, 131.8738459 37.2367241))",name:ja,大韓民国天然記念物 第336号 独島天然保護区域,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
31,modify,old,way,853678581,"POLYGON ((131.8738459 37.2367241, 131.8738459 37.2493339, 131.8596494 37.2493339, 131.8596494 37.2367241, 131.8738459 37.2367241))",name:ko-Hani,大韓民國天然記念物 第336號 獨島天然保護區域,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
32,modify,old,way,853678581,"POLYGON ((131.8738459 37.2367241, 131.8738459 37.2493339, 131.8596494 37.2493339, 131.8596494 37.2367241, 131.8738459 37.2367241))",name:zh,大韩民国天然纪念物 第336号 独岛天然保护区域,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
33,modify,old,way,853678581,"POLYGON ((131.8738459 37.2367241, 131.8738459 37.2493339, 131.8596494 37.2493339, 131.8596494 37.2367241, 131.8738459 37.2367241))",operator,대한민국 정부,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
34,modify,old,way,853678581,"POLYGON ((131.8738459 37.2367241, 131.8738459 37.2493339, 131.8596494 37.2493339, 131.8596494 37.2367241, 131.8738459 37.2367241))",leisure,nature_reserve,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
35,modify,old,way,853678581,"POLYGON ((131.8738459 37.2367241, 131.8738459 37.2493339, 131.8596494 37.2493339, 131.8596494 37.2367241, 131.8738459 37.2367241))",name,대한민국 천연기념물 제 336호 독도 천연보호구역,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
36,modify,old,way,853678581,"POLYGON ((131.8738459 37.2367241, 131.8738459 37.2493339, 131.8596494 37.2493339, 131.8596494 37.2367241, 131.8738459 37.2367241))",name:ko,대한민국 천연기념물 제336호 독도 천연보호구역,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
37,modify,old,way,853678581,"POLYGON ((131.8738459 37.2367241, 131.8738459 37.2493339, 131.8596494 37.2493339, 131.8596494 37.2367241, 131.8738459 37.2367241))",name:ru,Докдо,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
38,modify,new,way,853678581,"POLYGON ((131.8738459 37.2367241, 131.8738459 37.2493339, 131.8596494 37.2493339, 131.8596494 37.2367241, 131.8738459 37.2367241))",name:en,"Simane oki-gun okinosima-cho ""Takeshima"" Japan",2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
39,modify,new,way,853678581,"POLYGON ((131.8738459 37.2367241, 131.8738459 37.2493339, 131.8596494 37.2493339, 131.8596494 37.2367241, 131.8738459 37.2367241))",name:ja,日本国　島根県 隠岐郡 隠岐の島町 竹島,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
40,modify,new,way,853678581,"POLYGON ((131.8738459 37.2367241, 131.8738459 37.2493339, 131.8596494 37.2493339, 131.8596494 37.2367241, 131.8738459 37.2367241))",name:ko-Hani,日本国　島根県 隠岐郡 隠岐の島町 竹島,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
41,modify,new,way,853678581,"POLYGON ((131.8738459 37.2367241, 131.8738459 37.2493339, 131.8596494 37.2493339, 131.8596494 37.2367241, 131.8738459 37.2367241))",name:zh,日本国　島根県 隠岐郡 隠岐の島町 竹島,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
